;CodigoProblema;DescricaoProblema
1566;3136;Desistência de compra (cancelamento de compra)
1576;6679;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
1578;5731;Contrato - Rescisão/alteração unilateral
1582;6828;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
1583;5000;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
1586;2313;Garantia (Abrangência, cobertura, etc.)
1588;7292;Acidente de Consumo (produto/serviço causou danos pessoais ao consumidor)
1589;3898;Rescisão/Substituição/Alteração de contrato de saúde
1590;2357;Garantia (Abrangência, cobertura, etc.)
1591;5139;Recusa injustificada em prestar serviço
1598;1088;Envio de produto ou serviço sem previa solicitação
1600;3187;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1602;5127;Recusa injustificada em prestar serviço
1603;3234;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1605;2305;Garantia (Abrangência, cobertura, etc.)
1607;5804;Contrato - Clausula abusiva/em desacordo com a Legislação.
1611;1620;Venda enganosa
1617;150;Prazo de validade (falta, ilegível, etc.)
1618;7235;Defeito/Risco à saúde e segurança
1619;4972;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
1623;6176;Vício do Produto/Serviço
1634;7243;Defeito/Risco à saúde e segurança
1635;2753;Publicidade enganosa
1637;6203;Vício do Produto/Serviço
1638;3738;Cobrança indevida/abusiva
1645;4007;Reajuste anual de contrato de saúde com percentual elevado
1659;1711;Consumidor negativado indevidamente nos serviços de proteção ao credito
1663;1303;Desistência de consorcio
1664;5368;Cobrança indevida/abusiva
1669;3057;Produto entregue incompleto
1673;4213;Recusa/mau atendimento
1674;2920;Venda enganosa
1677;4317;Danos pessoais ao consumidor
1679;1383;Não entrega de quitação/retenção de documentos
1685;5325;Garantia - Descumprimento, prazo
1712;2504;Produto com vício
1714;4960;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
1717;2972;Demora na montagem/montagem incompleta/incorreta
1720;5376;Cobrança indevida/abusiva
1723;3613;Não pagamento de indenização
1726;1178;Calculo de prestação/taxa de juros
1727;2307;Garantia (Abrangência, cobertura, etc.)
1731;2364;Garantia (Abrangência, cobertura, etc.)
1732;2644;Não entrega/demora na entrega do produto
1742;2289;Não cumprimento do contrato/proposta
1743;3366;Produto causou danos materiais
1744;2548;Produto com vício
1745;1197;Calculo de antecipação de prestação
1753;3598;Não pagamento de indenização
1756;4975;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
1761;2527;Produto com vício
1778;1095;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
1782;3069;Produto entregue incompleto
1793;6708;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
1795;3659;Dano material/pessoal decorrente do serviço
1796;2912;Venda enganosa
1800;2747;Publicidade enganosa
1827;2348;Garantia (Abrangência, cobertura, etc.)
1831;3701;Reajuste abusivo (preço, taxa, mensalidade, etc.)
1834;2645;Não entrega/demora na entrega do produto
1837;1777;Cobrança vexatória/difamatória
1842;3643;Serviço não concluído /Fornecimento parcial
1851;2029;Não pagamento de indenização
1863;3233;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
1865;2316;Garantia (Abrangência, cobertura, etc.)
1867;3923;Rescisão/Substituição/Alteração de contrato de saúde
1873;2564;Produto entregue diferente do pedido
1875;4335;Danos materiais ao consumidor
1878;3937;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
1884;2612;Produto entregue diferente do pedido
1885;1140;Cobrança indevida.
1890;5180;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
1892;3690;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
1901;3624;Vicio de qualidade (mal executado, inadequado, impróprio)
1931;4298;Danos pessoais ao consumidor
1933;3657;Dano material/pessoal decorrente do serviço
1939;2551;Produto entregue diferente do pedido
1946;2616;Não entrega/demora na entrega do produto
1948;1355;Fundo de reserva
1951;2639;Não entrega/demora na entrega do produto
1965;2959;Demora na montagem/montagem incompleta/incorreta
1968;2219;Devolução de sinal, valores pagos (negocio não concretizado)
1988;1404;Não entrega de quitação/retenção de documentos
1998;6766;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
2001;6966;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
2005;249;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
2012;5478;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2015;7321;Defeito/Risco à saúde e segurança
2016;4936;Vicio de qualidade (mal executado, inadequado, impróprio)
2017;3186;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
2028;2653;Não entrega/demora na entrega do produto
2029;6151;Não Entrega de Produto
2033;5807;Contrato - Clausula abusiva/em desacordo com a Legislação.
2034;2927;Venda enganosa
2044;6978;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
2047;2963;Demora na montagem/montagem incompleta/incorreta
2053;6988;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
2062;4865;Não cumprimento à oferta
2067;1092;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
2072;5060;Dano material/pessoal decorrente do serviço
2074;4990;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
2077;3224;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
2080;1721;Consumidor negativado indevidamente nos serviços de proteção ao credito
2088;6092;Antecipação de Financiamento
2092;5029;Serviço não concluído /Fornecimento parcial
2094;6000;Descredenciamento
2108;1875;Discordância quanto as avarias
2124;1890;Valor da multa
2141;3724;Desistência do serviço (artigo 49 - descumprimento)
2144;3854;Contrato - Clausula abusiva/em desacordo com a Legislação.
2145;3700;Reajuste abusivo (preço, taxa, mensalidade, etc.)
2146;5065;Dano material/pessoal decorrente do serviço
2150;2160;Não execução de obras de infra-estrutura e benfeitorias
2153;3035;Falta de peca de reposição
2154;2652;Não entrega/demora na entrega do produto
2157;2621;Não entrega/demora na entrega do produto
2161;4863;Não cumprimento à oferta
2162;1127;Cobrança indevida.
2165;4417;Preço do produto/serviço
2167;1621;Venda enganosa
2182;5001;Serviço não concluído /Fornecimento parcial
2190;250;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
2194;2544;Produto com vício
2200;2518;Produto com vício
2206;5398;Cobrança indevida/abusiva
2220;7116;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
2226;1222;Calculo de prestação em atraso
2228;7095;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2229;1101;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
2233;1878;Discordância quanto as avarias
2236;2039;Cobrança de taxa indevida (elaboração de contrato, aferição de idoneidade, etc.)
2243;7234;Defeito/Risco à saúde e segurança
2244;6860;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2254;4861;Não cumprimento à oferta
2309;2195;Rescisão do contrato pela não entrega do imóvel
2319;1630;Venda enganosa
2323;3165;Desistência de compra (cancelamento de compra)
2324;1702;Consumidor negativado indevidamente nos serviços de proteção ao credito
2325;1445;Valor de reajuste (mensalidade)
2329;3814;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
2330;5082;Dano material/pessoal decorrente do serviço
2341;5768;Contrato - Clausula abusiva/em desacordo com a Legislação.
2342;7260;Defeito/Risco à saúde e segurança
2343;2590;Produto entregue diferente do pedido
2355;7224;Defeito/Risco à saúde e segurança
2357;6866;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
2360;3747;Cobrança indevida/abusiva
2372;5087;Serviço em desacordo com norma/lei
2375;2624;Não entrega/demora na entrega do produto
2376;3171;Desistência de compra (cancelamento de compra)
2383;5464;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2387;2966;Demora na montagem/montagem incompleta/incorreta
2391;3135;Desistência de compra (cancelamento de compra)
2397;2347;Garantia (Abrangência, cobertura, etc.)
2410;1977;Falha bancaria em transações eletrônicas (transferencias indevidas, saques indevidos)
2413;5485;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2414;709;Oferta enganosa
2417;5145;Recusa injustificada em prestar serviço
2426;5397;Cobrança indevida/abusiva
2427;6182;Vício do Produto/Serviço
2431;6713;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
2439;7268;Defeito/Risco à saúde e segurança
2440;5340;Garantia - Descumprimento, prazo
2444;1756;Cobrança vexatória/difamatória
2445;3183;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
2456;1729;Não comunicação de negativacao
2457;6476;CET – Não fornecimento de planilha de cálculo / Recusa de cálculo.
2458;4914;Não pagamento de indenização
2462;6846;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2463;5294;Desistência do serviço (artigo 49 - descumprimento)
2470;6839;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2481;2605;Produto entregue diferente do pedido
2486;2723;Peso/volume/quantidade/tamanho
2489;3213;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
2493;1882;Discordância quanto as avarias
2494;1629;Venda enganosa
2497;311;Alteração de odor, sabor e aspecto.
2498;147;Prazo de validade (falta, ilegível, etc.)
2501;199;Preço (abusivo, remarcado, falta, etc.)
2502;7150;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
2507;2565;Produto entregue diferente do pedido
2510;251;Má prestação de serviço (recusa, mau atendimento, sonegação de mercadoria, venda casada, entrega diferente do pedido)
2515;5364;Garantia - Descumprimento, prazo
2517;5523;Venda/Oferta/publicidade enganosa.
2518;2905;Venda enganosa
2525;2615;Não entrega/demora na entrega do produto
2529;2876;Venda enganosa
2530;6158;Não Entrega de Produto
2533;1286;Autorização de faturamento/entrega do bem/carta de credito (não entrega, atualização, valor menor)
2540;1177;Calculo de prestação/taxa de juros
2541;7019;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
2546;1755;Cobrança vexatória/difamatória
2560;6733;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
2567;5489;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2571;3649;Dano material/pessoal decorrente do serviço
2574;3616;Vicio de qualidade (mal executado, inadequado, impróprio)
2576;5791;Contrato - Clausula abusiva/em desacordo com a Legislação.
2579;5161;Recusa injustificada em prestar serviço
2583;4284;Danos pessoais ao consumidor
2590;7147;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
2606;1624;Venda enganosa
2631;6718;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2638;1100;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
2642;1188;Calculo de prestação/taxa de juros
2646;3767;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2650;5030;Serviço não concluído /Fornecimento parcial
2651;3428;Cobrança de valor quando o produto e devolvido (cobrança indevida)
2652;2658;Não entrega/demora na entrega do produto
2661;5746;Contrato - Rescisão/alteração unilateral
2670;6810;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
2680;3940;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
2681;5342;Garantia - Descumprimento, prazo
2698;3885;Cobrança de embalagem (sacolas)
2701;2514;Produto com vício
2703;5824;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
2713;4989;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
2717;5138;Recusa injustificada em prestar serviço
2718;2162;Não execução de obras de infra-estrutura e benfeitorias
2747;1466;Valor do bem
2752;3119;Desistência de compra (cancelamento de compra)
2753;6831;SAC - Acompanhamento de demandas (ausência de registro numérico, não envio do histórico/registro)
2763;5863;Não pagamento de indenização
2767;5354;Garantia - Descumprimento, prazo
2774;6843;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
2775;2340;Garantia (Abrangência, cobertura, etc.)
2787;3921;Rescisão/Substituição/Alteração de contrato de saúde
2791;6320;Baixa Renda
2795;3723;Desistência do serviço (artigo 49 - descumprimento)
2810;2333;Garantia (Abrangência, cobertura, etc.)
2816;5471;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
2840;3127;Desistência de compra (cancelamento de compra)
2842;3132;Desistência de compra (cancelamento de compra)
2843;2576;Produto entregue diferente do pedido
2852;6057;Lançamento Não Reconhecido na Fatura
2853;6187;Vício do Produto/Serviço
2866;4947;Vicio de qualidade (mal executado, inadequado, impróprio)
2872;3790;Publicidade abusiva.
2873;3192;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
2878;4922;Vicio de qualidade (mal executado, inadequado, impróprio)
2883;2292;Não cumprimento do contrato/proposta
2885;5544;Publicidade abusiva.
2894;1185;Calculo de prestação/taxa de juros
2895;5049;Dano material/pessoal decorrente do serviço
2896;2343;Garantia (Abrangência, cobertura, etc.)
2899;2338;Garantia (Abrangência, cobertura, etc.)
2903;3156;Desistência de compra (cancelamento de compra)
2911;1717;Consumidor negativado indevidamente nos serviços de proteção ao credito
2936;3462;Cobrança de valor quando o produto e devolvido (cobrança indevida)
2937;5142;Recusa injustificada em prestar serviço
2960;3098;Produto entregue incompleto
2966;5383;Cobrança indevida/abusiva
2996;1651;Não entrega de copia do contrato
3012;2283;Duvidas sobre cobranças (taxas, etc.)
3015;2041;Cobrança de taxa indevida (elaboração de contrato, aferição de idoneidade, etc.)
3016;2188;Rescisão do contrato por inadimplência do consumidor
3021;2216;Devolução de sinal, valores pagos (negocio não concretizado)
3027;3000;Falta de peca de reposição
3033;5320;Desistência do serviço (artigo 49 - descumprimento)
3035;6091;Antecipação de Financiamento
3039;2306;Garantia (Abrangência, cobertura, etc.)
3044;2499;Produto com vício
3045;2632;Não entrega/demora na entrega do produto
3048;5838;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
3068;2183;Saldo devedor
3078;3242;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
3081;3441;Cobrança de valor quando o produto e devolvido (cobrança indevida)
3083;3694;Reajuste abusivo (preço, taxa, mensalidade, etc.)
3086;3116;Produto entregue incompleto
3099;2894;Venda enganosa
3119;2586;Produto entregue diferente do pedido
3121;6509;Tarifas Bancárias – Cobrança não autorizada.
3127;1754;Cobrança vexatória/difamatória
3133;6887;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3134;4126;Venda enganosa
3139;7110;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
3145;4965;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3146;6665;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3149;5756;Contrato - Rescisão/alteração unilateral
3153;6524;Tarifas Bancárias – Cobrança não autorizada.
3164;2867;Venda enganosa
3165;5348;Garantia - Descumprimento, prazo
3168;2930;Demora na montagem/montagem incompleta/incorreta
3170;7112;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3172;3749;Cobrança abusiva mediante constrangimento, ameaça.
3174;5394;Cobrança indevida/abusiva
3176;6871;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3181;1955;Falha bancaria (cheques, ordem de pagamento, etc.)
3182;2293;Não cumprimento do contrato/proposta
3185;5770;Contrato - Clausula abusiva/em desacordo com a Legislação.
3206;5403;Cobrança indevida/abusiva
3211;5378;Cobrança indevida/abusiva
3227;4447;Preço do produto/serviço
3231;2541;Produto com vício
3235;1119;Cobrança indevida.
3240;2868;Venda enganosa
3244;5610;Documentos: não fornecimento (escolares, recibo, nota, fiscal, vaucher , etc.)
3247;2975;Demora na montagem/montagem incompleta/incorreta
3258;6171;Vício do Produto/Serviço
3291;5472;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
3300;3087;Produto entregue incompleto
3307;1915;Roubo de cartão
3316;7135;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3317;6521;Tarifas Bancárias – Cobrança não autorizada.
3319;4262;Suspeita quanto a qualidade/eficácia do produto/serviço
3326;5078;Dano material/pessoal decorrente do serviço
3345;5313;Desistência do serviço (artigo 49 - descumprimento)
3351;5337;Garantia - Descumprimento, prazo
3360;1728;Não comunicação de negativacao
3367;3756;Cobrança abusiva mediante constrangimento, ameaça.
3380;5514;Venda/Oferta/publicidade enganosa.
3396;1546;Publicidade enganosa
3400;3617;Vicio de qualidade (mal executado, inadequado, impróprio)
3407;6065;Lançamento Não Reconhecido na Fatura
3414;3080;Produto entregue incompleto
3415;3130;Desistência de compra (cancelamento de compra)
3416;3122;Desistência de compra (cancelamento de compra)
3420;4964;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3432;5165;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
3436;6668;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3442;5059;Dano material/pessoal decorrente do serviço
3447;4073;Descumprimento de garantia pelo convênio medico (guia)
3472;3892;Rescisão/Substituição/Alteração de contrato de saúde
3480;2309;Garantia (Abrangência, cobertura, etc.)
3497;3632;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3498;1490;Não entrega do produto (titulo de capitalização, compra programada)
3501;1494;Não entrega do produto (titulo de capitalização, compra programada)
3503;3654;Dano material/pessoal decorrente do serviço
3508;5499;Venda/Oferta/publicidade enganosa.
3517;3368;Produto causou danos materiais
3519;3108;Produto entregue incompleto
3544;5201;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
3566;5758;Contrato - Rescisão/alteração unilateral
3567;4177;Publicidade enganosa
3569;2563;Produto entregue diferente do pedido
3584;4736;Produto adulterado quanto a cor/odor/sabor/tamanho/aspecto
3589;6949;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
3598;3141;Desistência de compra (cancelamento de compra)
3601;3563;Não pagamento de indenização
3607;3679;Recusa injustificada em prestar serviço
3619;3627;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3624;6770;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
3625;2362;Garantia (Abrangência, cobertura, etc.)
3635;4289;Danos pessoais ao consumidor
3636;3655;Dano material/pessoal decorrente do serviço
3653;824;Irregularidade na rotulagem (falta de dados, dados ilegíveis, outros)
3660;5018;Serviço não concluído /Fornecimento parcial
3664;5071;Dano material/pessoal decorrente do serviço
3665;2381;Manual de Instrução (em língua estrangeira/falta de informação/informação incorreta)
3689;4945;Vicio de qualidade (mal executado, inadequado, impróprio)
3693;6131;Transação Eletrônica Não Reconhecida
3719;3429;Cobrança de valor quando o produto e devolvido (cobrança indevida)
3722;6110;Transação Eletrônica Não Reconhecida
3727;6948;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
3730;2509;Produto com vício
3738;6245;Falta de Higiene em Estabelecimento
3750;3145;Desistência de compra (cancelamento de compra)
3756;6501;Tarifas Bancárias – Cobrança não autorizada.
3766;6762;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
3771;1855;Discordância na indenização (seguros em geral)
3780;7123;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3785;3702;Reajuste abusivo (preço, taxa, mensalidade, etc.)
3786;1107;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
3787;1858;Discordância na indenização (seguros em geral)
3792;2650;Não entrega/demora na entrega do produto
3808;3150;Desistência de compra (cancelamento de compra)
3817;5192;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
3819;1810;Não pagamento de indenização (seguros em geral)
3821;4962;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3831;1196;Calculo de antecipação de prestação
3839;6911;Fila em Banco
3844;7114;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
3845;303;Alteração de odor, sabor e aspecto.
3847;4982;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
3850;3918;Rescisão/Substituição/Alteração de contrato de saúde
3861;4792;Produto danificado/enferrujado/inadequado/mal armazenado
3865;2558;Produto entregue diferente do pedido
3914;6715;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
3922;3764;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
3929;6170;Não Entrega de Produto
3934;3985;Problemas relativos a emissão/remessa de carnes/orçamentos
3939;3865;Consulta Sobre Serviços (Pesquisa, cartilha, endereços, outros)
3968;1839;Discordância na indenização (seguros em geral)
3974;6119;Transação Eletrônica Não Reconhecida
3984;2625;Não entrega/demora na entrega do produto
4006;2589;Produto entregue diferente do pedido
4017;1657;Não entrega de copia do contrato
4018;5020;Serviço não concluído /Fornecimento parcial
4023;4413;Preço do produto/serviço
4049;6854;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
4050;5450;Duvida sobre cobrança/valor/reajuste/contrato/orçamento.
4051;5293;Desistência do serviço (artigo 49 - descumprimento)
4063;1823;Não pagamento de indenização (seguros em geral)
4089;1824;Não pagamento de indenização (seguros em geral)
4091;5736;Contrato - Rescisão/alteração unilateral
4093;3153;Desistência de compra (cancelamento de compra)
4096;7737;SAC – Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4097;6946;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4100;6689;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4106;3489;Cobrança de valor quando o produto e devolvido (cobrança indevida)
4109;6975;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4112;5382;Cobrança indevida/abusiva
4113;2794;Publicidade enganosa
4114;2298;Não pagamento de indenização
4115;1172;Calculo de prestação/taxa de juros
4128;5163;Recusa injustificada em prestar serviço
4143;796;Irregularidade na rotulagem (falta de dados, dados ilegíveis, outros)
4155;2557;Produto entregue diferente do pedido
4173;2743;Publicidade enganosa
4174;4135;Venda enganosa
4175;3932;Outros problemas com contratos de saúde (Não cobertura, abrangência, reembolso)
4176;4557;Medição irregular de pressão e peso/inalação (na rua, farmácia ou em outros estabelecimentos)
4177;5971;Reajuste sem previsão contratual
4195;3189;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
4196;3838;Contrato - Rescisão/alteração unilateral
4203;3432;Cobrança de valor quando o produto e devolvido (cobrança indevida)
4210;3089;Produto entregue incompleto
4215;3451;Cobrança de valor quando o produto e devolvido (cobrança indevida)
4218;5375;Cobrança indevida/abusiva
4260;3869;Não pagamento de indenização
4289;3337;Produto causou danos materiais
4303;5728;Contrato - Rescisão/alteração unilateral
4304;1883;Discordância quanto as avarias
4310;2513;Produto com vício
4316;3676;Recusa injustificada em prestar serviço
4317;3730;Garantia - Descumprimento, prazo
4327;1094;Contrato (não cumprimento, alteração, transferencia, irregularidade, rescisão, etc.)
4330;1308;Desistência de consorcio
4344;3639;Serviço não concluído /Fornecimento parcial
4347;4973;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
4352;6697;SAC - Qualidade do atendimento (atendente despreparado, problemas com a transferência da chamada, veiculação de mensagem publicitária)
4370;1942;Falha bancaria (cheques, ordem de pagamento, etc.)
4375;3568;Não pagamento de indenização
4410;5012;Serviço não concluído /Fornecimento parcial
4415;5193;Orçamento - Não cumprido/não fornecido/impreciso/incompleto/serviço não solicitado
4426;5757;Contrato - Rescisão/alteração unilateral
4434;6849;SAC - Resolução de demandas (ausência de resposta, excesso de prazo, não suspensão imediata da cobrança)
4438;704;Oferta enganosa
4451;1063;Envio de produto ou serviço sem previa solicitação
4510;3453;Cobrança de valor quando o produto e devolvido (cobrança indevida)
4515;6687;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4518;3731;Garantia - Descumprimento, prazo
4538;6682;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4546;2315;Garantia (Abrangência, cobertura, etc.)
4550;4161;Publicidade enganosa
4555;1640;Venda enganosa
4556;2197;Rescisão do contrato pela não entrega do imóvel
4557;2942;Demora na montagem/montagem incompleta/incorreta
4564;1764;Cobrança vexatória/difamatória
4566;4430;Preço do produto/serviço
4571;2896;Venda enganosa
4575;2829;Publicidade abusiva
4584;2566;Produto entregue diferente do pedido
4595;2166;Qualidade da construção (vícios, vazamentos, impermeabilização)
4597;4328;Danos materiais ao consumidor
4598;1406;Não entrega de quitação/retenção de documentos
4602;166;Prazo de validade (falta, ilegível, etc.)
4609;2181;Saldo devedor
4613;4853;Não cumprimento à oferta
4614;2248;Reajuste (aluguel/prestação)
4638;5767;Contrato - Rescisão/alteração unilateral
4639;2270;Cobrança de multa acima do permitido pela legislação (atraso no pag. de prestação/aluguel/condomínio)
4651;5856;Não pagamento de indenização
4655;2819;Publicidade abusiva
4668;6969;SAC - Acesso ao serviço (onerosidade, problemas no menu, indisponibilidade, inacessibilidade aos deficientes)
4679;3154;Desistência de compra (cancelamento de compra)
4690;5315;Desistência do serviço (artigo 49 - descumprimento)
4705;645;Publicidade enganosa
4716;198;Preço (abusivo, remarcado, falta, etc.)
4720;2790;Publicidade enganosa
4731;2225;Não entrega da escritura
4746;7231;Defeito/Risco à saúde e segurança
4777;7153;Tarifa de Cartão de Crédito – Cobrança Indevida (anuidade, 2ª via, etc.)
4778;1545;Publicidade enganosa
4783;1782;Calculo do prêmio (seguros)
4785;3205;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
4794;4999;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
4805;5396;Cobrança indevida/abusiva
4819;5377;Cobrança indevida/abusiva
4836;2776;Publicidade enganosa
4843;2342;Garantia (Abrangência, cobertura, etc.)
4844;3193;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
4851;3170;Desistência de compra (cancelamento de compra)
4854;7127;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
4863;3619;Vicio de qualidade (mal executado, inadequado, impróprio)
4874;3667;Serviço em desacordo com norma/lei
4879;1820;Não pagamento de indenização (seguros em geral)
4881;1951;Falha bancaria (cheques, ordem de pagamento, etc.)
4888;5999;Descredenciamento
4896;2361;Garantia (Abrangência, cobertura, etc.)
4904;3472;Cobrança de valor quando o produto e devolvido (cobrança indevida)
4914;4297;Danos pessoais ao consumidor
4917;5151;Recusa injustificada em prestar serviço
4922;2866;Venda enganosa
4933;5493;Venda/Oferta/publicidade enganosa.
4936;6658;SAC - Cancelamento de serviço (retenção, demora, não envio do comprovante)
4943;2627;Não entrega/demora na entrega do produto
4948;5143;Recusa injustificada em prestar serviço
4952;4980;Serviço não fornecido (entrega/instalação/não cumprimento da oferta/contrato)
4972;2567;Produto entregue diferente do pedido
4975;3348;Produto causou danos materiais
4987;330;Alteração de odor, sabor e aspecto.
4992;3822;Extravio/avaria de bagagem, carga, correspondência, mercadoria, mudança, etc.
4993;5750;Contrato - Rescisão/alteração unilateral
4994;5766;Contrato - Rescisão/alteração unilateral
5007;3229;Contrato/pedido/orçamento (rescisão, descumprimento, erro, etc.)
5008;5389;Cobrança indevida/abusiva
5014;2303;Garantia (Abrangência, cobertura, etc.)
