;strRazaoSocial;strNomeFantasia;NumeroCNPJ;RadicalCNPJ;CNAEPrincipal;DescCNAEPrincipal;RazaoSocialRFB;NomeFantasiaRFB;CodigoFornecedor
5165;COLOR VISAO DO BRASIL INDUSTRIA ACRILICA LIMITADA;COLORMAQ;47747969000194;47747969;2751100;FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS;COLOR VISAO DO BRASIL INDUSTRIA ACRILICA LIMITADA;COLOR VISAO DO BRASIL;1860
5167;TELEFONICA BRASIL S.A.;VIVO;02558157002106;02558157;6110801;SERVIÇOS DE TELEFONIA FIXA COMUTADA - STFC;TELEFONICA BRASIL S.A.;TELESP;1861
5171;INSTITUTO DE CIENCIA, EDUCAÇÃO E TECNOLOGIA DE VOT;FACULDADE FUTURA;04961123000140;04961123;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;INSTITUTO DE CIENCIA, EDUCACAO E TECNOLOGIA DE VOTUPORANGA;FACULDADE FUTURA;1862
5177;ITAU UNIBANCO VEICULOS ADMINISTRADORA DE CONSORCIO;ITAU UNIBANCO VEICULOS ADMINISTRADORA DE CONSORCIO;42421776000125;42421776;6493000;ADMINISTRAÇÃO DE CONSÓRCIOS PARA AQUISIÇÃO DE BENS E DIREITOS;FIAT ADMINISTRADORA DE CONSORCIOS LTDA.;;1863
5180;BOM FUTURO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA;LOTEAMENTO BOM FUTURO;30492691000159;30492691;;;;;1864
5185;CGC EQUIPAMENTOS E SERVICOS LTDA;67 TELECOM;08611669000393;08611669;;;;;1865
5189;CACHEFFO & CACHEFFO LTDA;AUTO FLEX VEICULOS E FINANCIAMENTOS;16844691000140;16844691;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;CACHEFFO & MOURA LTDA;AUTO FLEX VEICULOS E FINANCIAMENTOS;1866
5201;RODACAR AUTO PECAS LTDA;RODACAR AUTO PECAS LTDA;37191236000162;37191236;4530703;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES;RODACAR AUTO PECAS LTDA - EPP;;1867
5207;RODOJET VIAGENS E TURISMO LTDA;RODOJET VIAGENS E TURISMO LTDA;46878674000194;46878674;7911200;AGÊNCIAS DE VIAGENS;RODOJET VIAGENS E TURISMO LTDA;RODOJET;1868
5237;BANQI INSTITUIÇÃO DE PAGAMENTO LTDA;BANQI INSTITUIÇÃO DE PAGAMENTO LTDA;30723871000102;30723871;;;;;1869
5238;CLARO  S/A;CLARO;40432544023945;40432544;6120501;TELEFONIA MÓVEL CELULAR;CLARO S.A.;CLARO;1870
5243;LITORAL COMERCIO E SERVICOS DE REFRIGERACAO LTDA;LITORAL REFRIGERAÇÃO ( NOVO );20278407000192;20278407;;;;;1871
5247;MEGAIPE EMPREENDIMENTOS AGRICOLAS S.A.;MEGAIPE EMPREENDIMENTOS AGRICOLAS S.A.;02262991000106;02262991;0113000;CULTIVO DE CANA-DE-AÇÚCAR;MEGAIPE EMPREENDIMENTOS AGRICOLAS S.A.;;1872
5250;RAFAEL ALEXANDRE SOARES;INFORGAMES;07732774000156;07732774;4763601;COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;RAFAEL ALEXANDRE SOARES;INFORGAMES;1873
5260;HS MÓVEIS- HELDER MRDEIROS DE ARAÚJO;REDE UNILAR;70041397000900;70041397;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;REDE UNILAR LTDA;REDE UNILAR;1874
5261;COMPANHIA PERNAMBUCANA DE SANEAMENTO;COMPESA (CABO);09769035006529;09769035;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;COMPANHIA PERNAMBUCANA DE SANEAMENTO;COMPESA;1875
5262;CLARO ,NET,EMBRATEL;CLARO S.A.;40432544064200;40432544;;;;;1876
5263;M A COMERCIO DE PECAS, MAQUINAS E EQUIPAMENTOS LTD;M A COMERCIO DE PECAS, MAQUINAS E EQUIPAMENTOS LTD;16629158000165;16629158;4744001;COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;M A COMERCIO DE PECAS, MAQUINAS E EQUIPAMENTOS LTDA - ME;;1877
5264;SCHULZ S/A;SCHULZ;84693183000168;84693183;2814301;FABRICAÇÃO DE COMPRESSORES PARA USO INDUSTRIAL, PEÇAS E ACESSÓRIOS;SCHULZ S/A;SCHULZ;1878
5265;SEMP TCL MOBILIDADE LTDA;T & A MOBILE PHONES;08649664000198;08649664;4652400;COMÉRCIO ATACADISTA DE COMPONENTES ELETRÔNICOS E EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO;TCT MOBILE - TELEFONES LTDA;T & A MOBILE PHONES;1879
5266;M D MOVEIS LTDA;M D MOVEIS LTDA;89042642000167;89042642;3101200;FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA;M D MOVEIS LTDA;;1880
5268;SAMUEL MAYK DA SILVA LIMA 10948038470;SAMUEL MAYK;31501541000127;31501541;;;;;1881
5274;VERDADE E VIDA CLINICA TERAPEUTICA LTDA;VERDADE E VIDA CLINICA TERAPEUTICA;15772500000119;15772500;8720499;ATIVIDADES DE ASSISTÊNCIA PSICOSSOCIAL E À SAÚDE A PORTADORES DE DISTÚRBIOS PSÍQUICOS, DEFICIÊNCIA MENTAL E DEPENDÊNCIA QUÍMICA NÃO ESPECIFICADAS ANTERIORMENTE;VERDADE E VIDA CLINICA TERAPEUTICA LTDA  - ME;VERDADE E VIDA CLINICA TERAPEUTICA;1882
5276;CONAFER CONFEDERACAO NACIONAL DOS AGRICULTORES FAM;CONAFER;14815352000100;14815352;9420100;ATIVIDADES DE ORGANIZAÇÕES SINDICAIS;CONAFER CONFEDERACAO NACIONAL DOS AGRICULTORES FAMILIARES E EMPREEND.FAMI.RURAIS DO BRASIL;CONAFER;1883
5278;RICARDO CONCENTINO VEICULOS - ME;NATIVA VEICULOS;05904062000141;05904062;4511102;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS;RICARDO CONCENTINO VEICULOS - ME;NATIVA VEICULOS;1884
5283;GELTUR EIRELI ME;CVC - COUTO MAGALHÃES;19806896000129;19806896;;;;;1885
5284;DEL BIANCHI TURISMO LTDA (CVC);CVC TURISMO (LOJA CARREFOUR);03303422000710;03303422;7911200;AGÊNCIAS DE VIAGENS;DEL BIANCHI TURISMO LTDA - ME;CVC TURISMO;1886
5286;REFRIGERACAO DUFRIO COMERCIO E IMPORTACAO LTDA;REFRIGERACAO DUFRIO COM. E IMP. LTDA;01754239001868;01754239;;;;;1887
5287;BEST COMERCIAL IMPORTADORA LTDA;BEST COMERCIAL IMPORTADORA LTDA;09104629000156;09104629;4649401;COMÉRCIO ATACADISTA DE EQUIPAMENTOS ELÉTRICOS DE USO PESSOAL E DOMÉSTICO;BEST COMERCIAL IMPORTADORA LTDA;BEST IMPORTADORA;1888
5290;CENTRO EDUCACIONAL ITUMBIARA EIRELI;HAPPY SCHOOL;21255478000132;21255478;;;;;1889
5295;GAIA SECURITIZADORA S.A;GAIA SECURITIZADORA S.A;07587384000130;07587384;6492100;SECURITIZAÇÃO DE CRÉDITOS;GAIA SECURITIZADORA S.A.;GAIA SECURITIZADORA S.A.;1890
5300;EVANDRO FERREIRA DE ALMEIDA 33363598807;MARCENARIA EVANDRO;27545039000140;27545039;;;;;1891
5307;FENIX SERVIÇO DE LUTO E ASSISTÊNCIA FAMILIAR LTDA;FENIX SERVIÇO DE LUTO E ASSISTÊNCIA FAMILIAR LTDA;04827362000101;04827362;9603399;ATIVIDADES FUNERÁRIAS E SERVIÇOS RELACIONADOS NÃO ESPECIFICADOS ANTERIORMENTE;FENIX SERVICO DE LUTO E ASSISTENCIA FAMILIAR LTDA - ME;;1892
5312;MUELLER FOGÕES LTDA;MUELLER FOGÕES LTDA;04565361000136;04565361;2751100;FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS;MUELLER FOGOES LTDA.;;1893
5318;JACIANE LEAL DE MORAES;MIL E UMA SAPATILHAS;33807903000138;33807903;;;;;1894
5321;COMPANHIA DE AGUA E ESGOTO DO CEARA CAGECE;CAGECE;07040108000157;07040108;3600601;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;COMPANHIA DE AGUA E ESGOTO DO CEARA CAGECE;CAGECE;1895
5322;AGENCIA BRASILERIA DE CONTEUDO DIGITAL LTDA;AGENCIA BRASILERIA DE CONTEUDO DIGITAL LTDA;13922889000106;13922889;6190601;PROVEDORES DE ACESSO ÀS REDES DE COMUNICAÇÕES;IG PUBLICIDADE E CONTEUDO LTDA.;;1896
5325;FACULDADE SANTA RITA DE CÁSSIA;UNIFASC;02124897000190;02124897;8531700;EDUCAÇÃO SUPERIOR - GRADUAÇÃO;DINAMICA ORGANIZACAO PROJETOS E CONSULTORIA LTDA - ME;IFASC;1897
5332;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;29309127000179;29309127;6550200;PLANOS DE SAÚDE;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;;1898
5337;DANIEL MARTINA 24942517885;FILHOS DO ARQUITETO STORE BRASIL;16827423000110;16827423;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;DANIEL MARTINA 24942517885;;1899
5347;EMP. DE CORREIOS E TELÉGRAFOS - AGÊNCIA PONTA PORÃ;EMP. DE CORREIOS E TELÉGRAFOS - AGÊNCIA PONTA PORÃ;34028316168390;34028316;5310501;ATIVIDADES DO CORREIO NACIONAL;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;ECT DR MS AG PONTA PORA;1900
5348;SRV DISTRIBUIDORA DE ALIMENTOS EIRELI;SRV DISTRIBUIDORA;27818773000136;27818773;;;;;1901
5350;PEREIRA & SOTO LTDA;SILVIO SOTO IMÓVEIS;04566407000131;04566407;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS;PEREIRA & SOTO LTDA;SILVIO SOTO IMOVEIS;1902
5353;LOCALIZA RENT A CAR S.A;LOCALIZA RENT A CAR;16670085002360;16670085;7711000;LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;LOCALIZA RENT A CAR SA;LOCALIZA RENT A CAR;1903
5354;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA.;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA.;52568821000122;52568821;6493000;ADMINISTRAÇÃO DE CONSÓRCIOS PARA AQUISIÇÃO DE BENS E DIREITOS;BRADESCO ADMINISTRADORA DE CONSORCIOS LTDA.;;1904
5356;J. VIRGILIO IMOVEIS LTDA;JVF NEGOCIOS IMOBILIARIOS;00293829000120;00293829;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO DE IMÓVEIS;J. VIRGILIO IMOVEIS LTDA;;1905
5359;LOJAS AMERICANAS S/A;LOJAS AMERICANAS S/A;33014556066294;33014556;4711302;COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS;LOJAS AMERICANAS S.A.;LOJAS AMERICANAS S/A;1906
5360;BANCO ITAU S/A;AGENCIA 0499;60701190048212;60701190;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;ITAU UNIBANCO S.A.;;1907
5361;VIA VAREJO S/A;CASAS BAHIA RONDONOPOLIS;33041260113104;33041260;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;VIA VAREJO S/A;;1908
5362;MORRO DA MESA CONCESSIONÁRIA DE RODOVIAS S.A.;MORRO DA MESA CONCESSIONÁRIA DE RODOVIAS S.A.;13858125000107;13858125;4211101;CONSTRUÇÃO DE RODOVIAS E FERROVIAS;MORRO DA MESA CONCESSIONARIA S/A.;;1909
5371;INTERNATIONAL PASSPORT AGÊNCIA DE TURISMO;INTERNATIONAL PASSPORT AGÊNCIA DE TURISMO;18562758000189;18562758;7990200;SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE;INTERNATIONAL PASSPORT AGENCIA DE TURISMO EIRELI  - ME;INTERNATIONAL PASSPORT;1910
5385;XPAY SERVIÇOS DE PAGAMENTOS EXPRESSOS LTDA;XPAY PAGAMENTOS EXPRESSOS;33971283000178;33971283;;;;;1911
5393;NATHALIA CAROLINE PIMENTEL CARVALHO;MAIS FRIO;32841331000140;32841331;;;;;1912
5398;TELEFONICA BRASIL S/A;VIVO;02558157052987;02558157;6120501;TELEFONIA MÓVEL CELULAR;TELEFONICA BRASIL S.A.;;1913
5400;MILLENA MÓVEIS COMÉRCIO - EIRELI;MILLENA MÓVEIS;00296549002380;00296549;4754701;COMÉRCIO VAREJISTA DE MÓVEIS;MILLENA MOVEIS COMERCIO EIRELI;;1914
5402;ZURICH BRASIL COMPANHIA DE SEGUROS (QBE);ZURICH BRASIL COMPANHIA DE SEGUROS (QBE);96348677000194;96348677;6512000;SEGUROS NÃO-VIDA;QBE BRASIL SEGUROS S/A;;1915
5404;MASTER ELETRÔNICA DE BRINQUEDOS LTDA;LASER ELETRO;40841728003933;40841728;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;MASTER ELETRONICA DE BRINQUEDOS LTDA;LASER ELETRO MAGAZINE;1916
5406;GERALDO MAGELA CARNEIROMAGELA;GERALDO MAGELA CARNEIROMAGELA;25977963000170;25977963;;;;;1917
5409;KARINA KARLA DE A. R. PASSONI;T&K MOVEIS PLANEJADOS;00007598370745;;;;;;1918
5410;ASL - ASSISTÊNCIA A SAÚDE LTDA;AMIL (MEDMAIS);03716044000100;03716044;6550200;PLANOS DE SAÚDE;ASL ASSISTENCIA A SAUDE LTDA;ASL;1919
5414;SUMUP SOLUCOES DE PAGAMENTO BRASIL LTDA;SUMUP;16668076000120;16668076;8299799;OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE;SUMUP SOLUCOES DE PAGAMENTO BRASIL LTDA;;1920
5415;ORIENT RELOGIOS DA AMAZONIA LTDA;ORIENT;05830195000110;05830195;2652300;FABRICAÇÃO DE CRONÔMETROS E RELÓGIOS;ORIENT RELOGIOS DA AMAZONIA LTDA;ORIENT;1921
5416;JCA CONSULTORIA E TECNOLOGIA EIRELI;JCA CONSULTORIA E TECNOLOGIA EIRELI;16830642000158;16830642;4751201;;JESUS COELHO ARAUJO 30459167839;;1922
5419;MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS;MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS;06020318000706;06020318;2949299;FABRICAÇÃO DE OUTRAS PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES NÃO ESPECIFICADAS ANTERIORMENTE;MAN LATIN AMERICA INDUSTRIA E COMERCIO DE VEICULOS LTDA;;1923
5422;2A AUTO MECANICA COMERCIO DE PNEUS E SERVICOS LTDA;2A AUTOMECANICA;37964902000158;37964902;;;;;1924
5435;RENATA ANTUNES MACEDO 31844809846;STUDIO 7 PILATES;24087167000108;24087167;;;;;1925
5436;AME DEGITAL BRASIL LTDA;AME DIGITAL;32778350000170;32778350;;;;;1926
5439;PROJETO CIDADAO ADMINISTRADORA DE CARTOES EIRELI;PROJETO CIDADAO;21371868000178;21371868;;;;;1927
5442;COMPANHIA DE GAS DE SAO PAULO COMGAS;COMGAS;61856571000117;61856571;3520401;PRODUÇÃO DE GÁS PROCESSAMENTO DE GÁS NATURAL;COMPANHIA DE GAS DE SAO PAULO COMGAS;;1928
5453;LEROY MERLIN CIA BRASILEIRA DE BRICOLAGEM;WWW.LEROYMERLIN.COM.BR;01438784004860;01438784;;;;;1929
5456;MICRO JUNDIAI ED. CULTURAIS LTDA;MICROCAMP;02129010000157;02129010;4761001;COMÉRCIO VAREJISTA DE LIVROS;MICRO JUNDIAI EDICOES CULTURAIS LTDA - EPP;;1930
5459;MARISA LOJAS S.A;MARISA.COM.BR;61189288030509;61189288;4781400;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;MARISA LOJAS S.A.;LOJAS MARISA;1931
5464;TOOTH ODONTOLOGIA LTDA;ODONTO COMPANY;35331531000141;35331531;;;;;1932
5467;KADU EVENTOS E PROMOCOES LTDA;KADU EVENTOS E PROMOCOES LTDA;04992331000106;04992331;9001999;ARTES CÊNICAS, ESPETÁCULOS E ATIVIDADES COMPLEMENTARES NÃO ESPECIFICADOS ANTERIORMENTE;KADU EVENTOS E PROMOCOES LTDA - ME;;1933
5474;JULIANO SCOZ MEDEIROS;TERRACICLA;30075513000122;30075513;;;;;1934
5475;E C DE M CANO ME;AREA 51;12369413000127;12369413;9511800;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS;E C DE M CANO - ME;IASMIN INFORMATICA;1935
5479;ERIBELTON VALERIO DE FREITAS;PET DOG;10562776000159;10562776;4789004;COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMAÇÃO;ERIBELTON VALERIO DE FREITAS - ME;PET DOG;1936
5480;ALFATEL NETWORK;ALFATEL NETWORK;25224187000138;25224187;;;;;1937
5486;HERNANDES SERVICOS LTDA;EXTRA EMPRÉSTIMOS LTDA;97534293000129;97534293;8291100;ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS;FRANCINE CARBONAR RODRIGUES ME;;1938
5493;AZUL CLUBE DE BENEFICIOS LINHARES;AZUL CLUB DE BENEFICIOS LINHARES;31859370000102;31859370;;;;;1939
5498;IRMAOS ANTUNES LTDA;TOMODACHI;12475662000105;12475662;8291100;ATIVIDADES DE COBRANÇA E INFORMAÇÕES CADASTRAIS;IRMAOS ANTUNES LTDA ME;TOMODACHI;1940
5503;IMPACTO FACTORING FOMENTO MERCANTIL LTDA;IMPACTO FACTORING FOMENTO MERCANTIL LTDA;05469136000169;05469136;6491300;SOCIEDADES DE FOMENTO MERCANTIL - FACTORING;IMPACTO FACTORING FOMENTO MERCANTIL LTDA;;1941
5505;KALUNGA SA;********;43283811001202;43283811;4647801;COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;;1942
5508;RODRIGO SERGIO YARED - ME;PRIME ASSISTENCIA TECNICA;05274589000210;05274589;;;;;1943
5511;JULIANO CESAR DOS SANTOS;JULIANO CESAR DOS SANTOS;00042160495832;;;;;;1944
5514;CLINICA ODONTOLOGICA DENTAL CARD S/S LTDA;ODONTOCOMPANY - UNIDADE BERNARDINO;65708752000157;65708752;8630504;ATIVIDADE ODONTOLÓGICA COM RECURSOS PARA REALIZAÇÃO DE PROCEDIMENTOS CIRÚRGICOS;CLINICA ODONTOLOGICA DENTAL CARD S/S LTDA;;1945
5526;CARDOZO RIO PRETO COMÉRCIO DE MADEIRAS EIRELLI;JUARA MADEIRAS;09943001000144;09943001;4930202;TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;CARDOZO & AZOIA COMERCIO DE MADEIRAS LTDA  - ME;JUARA MADEIRAS;1946
5532;ATACADAO S.A.;ATACADAO;75315333013510;75315333;4711301;COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS;ATACADAO DISTRIBUICAO COMERCIO E INDUSTRIA LTDA;ATACADAO;1947
5534;COMPMSTER MAQUINAS E EQUIP.  INFORMATICA LTDA;COMPMASTER;02170211004357;02170211;;;;;1948
5537;JULIANA NUNES DE ARAUJO NAGATANI 39118239838;JULIANA NUNES DE ARAUJO NAGATANI;34945759000169;34945759;;;;;1949
5544;CASAS BAIANA LTDA;CASAS BAIANA;05291393000153;05291393;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;CASAS BAIANA LTDA;CASAS BAIANA;1950
5545;ROBERTO BASTOS DE PAULA;ROBERTO BASTOS DE PAULA;00088924653172;;;;;;1951
5551;THE WALT DISNEY COMPANY (BRASIL) LTDA;WALT DISNEY;73042962000187;73042962;5913800;DISTRIBUIÇÃO CINEMATOGRÁFICA, DE VÍDEO E DE PROGRAMAS DE TELEVISÃO;THE WALT DISNEY COMPANY (BRASIL) LTDA;WALT DISNEY;1952
5554;KEVYN PATRICK FELIX NEVES;MOBILE ASSISTANCE;29531009000100;29531009;;;;;1953
5555;BLUE BRAZILIAN CARTOES PRE PAGOS EIRELI;BLUBANK BRASIL;31826905000149;31826905;;;;;1954
5556;BANCO DO BRASIL;BANCO DO BRASIL;00000000565105;00000000;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO DO BRASIL SA;SANTA RITA DO PARANAIBA - ITUMBIARA (GO);1955
5557;RDC FÉRIAS HOTÉIS E TURISMO;RDC FÉRIAS;65082455000149;65082455;9430800;ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS;RDC=FERIAS HOTEIS E TURISMO;;1956
5561;NADIA LUISA PAGLIARI CRUZ - PRATICA COACHING EMPRE;PRATICA GESTAO EMPRESARIAL;32237592000156;32237592;;;;;1957
5562;MB DOS SANTOS MAGALHAES COMERCIO VARIEDADES;MB DOS SANTOS MAGALHAES COMERCIO VARIEDADES;10235055000134;10235055;;;;;1958
5563;BANCO BRADESCO S.A;BANCO BRADESCO S.A;60746948119276;60746948;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO BRADESCO SA;BRADESCO AG. CAXIAS EST UNIF;1959
5564;VENTISOL INDUSTRIA E COMERCIO S.A.;VENTISOL S.A;01763720000171;01763720;2790299;FABRICAÇÃO DE OUTROS EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE;VENTISOL INDUSTRIA E COMERCIO S.A.;VENTISOL S.A.;1960
5565;GERSON IDEFONSO DOS SANTOS;CENTRAL EDITORIAL;37666530000183;37666530;;;;;1961
5569;BLESSED IMPORT E EXPORT - EIRELI;BLESSED I;19160400000192;19160400;4789007;COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO;BLESSED IMPORT E EXPORT - EIRELI - ME;BLESSED I;1962
5574;IVANOFF E TAVARES EMPREENDIMENTOS IMOBILIÁRIOS SPE;IVANOFF E TAVARES EMPREENDIMENTOS IMOBILIÁRIOS SPE;20714273000105;20714273;;;;;1963
5578;DIEGO FERREIRA E SILVA - ME;FENIX MOTO PEÇAS;25236681000112;25236681;;;;;1964
5579;MARMELEIRO AUTO POSTO LTDA;POSTO MILLENIUM;05082661000470;05082661;4731800;COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES;MARMELEIRO AUTO POSTO LTDA;POSTO MELLENIUM;1965
5583;BANCO BRADESCO;BANCO BRADESCO - EX HSBC - AG. 01138;01701201176384;01701201;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;HSBC BANK BRASIL S.A. - BANCO MULTIPLO;HSBC;1966
5590;JABIRUSS VIAGENS E TURISMO LTDA ME;JABIRUSS VIAGENS E TURISMO LTDA ME;07932591000184;07932591;7911200;AGÊNCIAS DE VIAGENS;JABIRU'S VIAGENS E TURISMO LTDA ME;TUIUTUR;1967
5592;FARMACIA FARMA 2000 LTDA;DROGRARIA ULTRA POPULAR;03222144000180;03222144;4771701;COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS;FARMACIA FARMA2000 LTDA EPP;FARMA2000;1968
5593;LOJAS AMERICANAS S.A.;LOJAS AMERICANAS;33014556094158;33014556;;;;;1969
5594;ACELERIZ MOTOS COMERCIO DE MOTOS LTDA;ACELERIZ MOTOS;07367765000103;07367765;4541203;COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;MOTO CERTA COMERCIO DE MOTOS E AUTOS LTDA;MOTO CERTA;1970
5595;DREAM ON COMERCIO DE COLCHOES LTDA;DREAM ON COMERCIO DE COLCHOES LTDA;11498708000130;11498708;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO E ARMARINHO PE-SAN LTDA;ARMARINHO PE-SAN;1971
5596;BANCO SANTANDER (BRASIL) S.A;BANCO SANTANDER;90400888205623;90400888;6422100;BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL;BANCO SANTANDER (BRASIL) S.A.;AGENCIA VARZEA GRANDE;1972
5600;LAGOA THERMAS CLUBE, TURISMO, LAZER E ECOLOGIA;LAGOA TERMAS PARQUE;05620609000187;05620609;9312300;CLUBES SOCIAIS, ESPORTIVOS E SIMILARES;LAGOA THERMAS CLUBE, TURISMO, LAZER E ECOLOGIA;;1973
5601;FUJIOKA ELETRO IMAGEM S.A;FUJIOKA;01008713005719;01008713;4789008;COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM;FUJIOKA ELETRO IMAGEM S.A;FUJIOKA;1974
5604;ELETROSSOM S/A;REDE ELETROSSOM;22164990006339;22164990;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;ELETROSOM S/A;REDE ELETROSOM;1975
5606;ELETROSOM S.A.;REDE ELETROSOM;22164990008978;22164990;4753900;COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO;ELETROSOM S/A;REDE ELETROSOM;1976
5611;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PARANA BANCO I;FIDC PARANA BANCO I;08092514000126;08092514;6470101;FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIÁRIOS E IMOBILIÁRIOS;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PARANA BANCO I;FIDC PARANA BANCO I;1977
5612;MICROSOFT MOBILE TECNOLOGIA LTDA;NOKIA;02140198000215;02140198;2632900;FABRICAÇÃO DE APARELHOS TELEFÔNICOS E DE OUTROS EQUIPAMENTOS DE COMUNICAÇÃO, PEÇAS E ACESSÓRIOS;NOKIA DO BRASIL TECNOLOGIA LTDA;;1978
5616;NUTOP PRODUTOS FUNCIONAIS LTDA;TOP THERM;08455356000121;08455356;4729699;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE;NUTOP PRODUTOS FUNCIONAIS LTDA.;TOP THERM;1979
